Personal-Nr,ABCStatus,Status,Beruf,Einstellungsberuf,Berufschl,Qualifiaktion,Profil
60924,I,1,,,1,118,
62037,A,2,158,Fachhelfer/in - Industrie,1,160,
62037,A,2,158,Fachhelfer/in - Industrie,1,123,
62037,A,2,158,Fachhelfer/in - Industrie,1,155,
62037,A,2,158,Fachhelfer/in - Industrie,1,156,
62037,A,2,158,Fachhelfer/in - Industrie,1,157,
62037,A,2,158,Fachhelfer/in - Industrie,1,177,
62037,A,2,158,Fachhelfer/in - Industrie,1,118,
61541,I,1,,,1,740,
62298,T,1,,,1,705,
62298,T,1,,,1,707,
62298,T,1,,,1,708,
61505,I,1,,,1,731,
62036,I,1,,,1,751,
62461,T,1,,,1,706,
61523,I,1,,,1,703,
61523,I,1,,,1,113,
61523,I,1,,,1,713,
61523,I,1,,,1,118,
61469,I,1,,,1,720,
61909,I,1,,,1,760,
61909,I,1,,,1,752,
61609,T,1,,,1,731,
61737,I,1,,,1,731,
61880,A,1,,,1,800,
61880,A,1,,,1,169,
62156,T,1,,,1,731,
62229,A,1,,,1,155,
62229,A,1,,,1,118,
62229,A,1,,,1,168,
62154,A,2,158,Fachhelfer/in - Industrie,1,178,
62154,A,2,158,Fachhelfer/in - Industrie,1,169,
62016,I,1,,,1,705,
62016,I,1,,,1,706,
62328,A,1,,,1,113,
62328,A,1,,,1,175,
62328,A,1,,,1,156,
61963,A,2,782,Qualitätsfachmann/-frau,1,132,
61963,A,2,782,Qualitätsfachmann/-frau,1,123,
61963,A,2,782,Qualitätsfachmann/-frau,1,133,
61963,A,2,782,Qualitätsfachmann/-frau,1,134,
61963,A,2,782,Qualitätsfachmann/-frau,1,105,
61963,A,2,782,Qualitätsfachmann/-frau,1,175,
61864,B,1,,,1,800,
61864,B,1,,,1,169,
61704,T,1,,,1,713,
61995,I,1,,,1,731,
62372,I,1,10009,Produktionshelfer/in - Elektro,1,761,
61905,A,1,,,1,144,
61905,A,1,,,1,145,
62325,T,1,,,1,182,
62325,T,1,,,1,183,
62325,T,1,,,1,184,
62325,T,1,,,1,705,
62325,T,1,,,1,155,
62260,I,1,,,1,762,
62138,B,1,,,1,171,
62072,I,1,,,1,704,
62085,A,1,,,1,166,
62085,A,1,,,1,177,
62085,A,1,,,1,118,
62085,A,1,,,1,172,
62085,A,1,,,1,157,
17325,I,1,,,1,740,
17325,I,1,,,1,741,
62513,I,1,,,1,715,
61888,I,1,,,1,740,
61888,I,1,,,1,741,
61787,C,2,23785,Lagerhelfer/in,1,113,
61787,C,2,23785,Lagerhelfer/in,1,169,
62277,A,1,,,1,113,
62277,A,1,,,1,169,
61862,T,1,,,1,713,
62371,A,2,10005,Produktionshelfer/in - Kunststoff und Ka,1,800,
62371,A,2,10005,Produktionshelfer/in - Kunststoff und Ka,1,169,
61423,I,1,,,1,740,
61952,A,1,,,1,800,
61952,A,1,,,1,118,
61952,A,1,,,1,169,
62287,I,1,,,1,731,
62287,I,1,,,1,732,
61997,I,1,,,1,760,
61596,T,1,,,1,702,
61596,T,1,,,1,172,
61596,T,1,,,1,155,
61596,T,1,,,1,156,
61596,T,1,,,1,168,
61596,T,1,,,1,178,
62508,A,1,,,1,113,
62508,A,1,,,1,182,
62508,A,1,,,1,183,
62508,A,1,,,1,156,
62435,A,1,,,1,169,
61684,I,1,,,1,742,
61684,I,1,,,1,713,
61919,A,1,,,1,800,
61919,A,1,,,1,151,
61919,A,1,,,1,132,
61919,A,1,,,1,133,
61919,A,1,,,1,105,
61919,A,1,,,1,155,
61919,A,1,,,1,147,
61919,A,1,,,1,177,
61919,A,1,,,1,118,
61919,A,1,,,1,148,
61384,T,1,,,1,730,
62101,T,1,,,1,714,
61504,T,1,,,1,712,
62368,,2,10007,Produktionshelfer/in - Metall,1,113,
62368,,2,10007,Produktionshelfer/in - Metall,1,155,
61767,T,1,,,1,703,
60044,I,1,,,1,114,
60044,I,1,,,1,714,
60044,I,1,,,1,157,
60044,I,1,,,1,118,
18946,C,1,,,1,155,
18946,C,1,,,1,117,
61517,T,1,,,1,160,
61517,T,1,,,1,702,
61517,T,1,,,1,172,
61517,T,1,,,1,123,
61517,T,1,,,1,174,
61517,T,1,,,1,155,
61517,T,1,,,1,156,
61517,T,1,,,1,157,
61517,T,1,,,1,168,
61992,A,1,,,1,113,
61992,A,1,,,1,157,
61863,I,1,,,1,714,
61863,I,1,,,1,118,
61863,I,1,,,1,119,
61863,I,1,,,1,715,
62473,,1,,,1,715,
62356,T,1,,,1,705,
61724,T,1,,,1,703,
61724,T,1,,,1,705,
62121,T,1,,,1,731,
61881,A,1,,,1,714,
61881,A,1,,,1,173,
61881,A,1,,,1,715,
61881,A,1,,,1,157,
61881,A,1,,,1,118,
61881,A,1,,,1,178,
62055,A,1,,,1,800,
62055,A,1,,,1,156,
62056,A,1,,,1,156,
62056,A,1,,,1,166,
61842,I,1,,,1,760,
61742,I,1,,,1,731,
62458,A,2,10007,Produktionshelfer/in - Metall,1,169,
61826,I,1,,,1,740,
61826,I,1,,,1,741,
61826,I,1,,,1,703,
61372,T,1,,,1,711,
62504,T,1,,,1,715,
61554,T,1,,,1,712,
61502,I,1,,,1,731,
61669,T,1,,,1,731,
62026,A,1,,,1,714,
62312,T,1,,,1,705,
62177,T,1,,,1,731,
61681,I,1,,,1,731,
61850,I,1,,,1,760,
61850,I,1,,,1,752,
61850,I,1,,,1,714,
61151,A,2,158,Fachhelfer/in - Industrie,1,113,
61151,A,2,158,Fachhelfer/in - Industrie,1,143,
61151,A,2,158,Fachhelfer/in - Industrie,1,155,
61151,A,2,158,Fachhelfer/in - Industrie,1,156,
61151,A,2,158,Fachhelfer/in - Industrie,1,117,
61932,T,1,,,1,704,
61426,T,1,,,1,701,
62246,B,1,,,1,113,
62246,B,1,,,1,155,
61817,B,2,10007,Produktionshelfer/in - Metall,1,800,
61817,B,2,10007,Produktionshelfer/in - Metall,1,113,
62153,A,1,,,1,173,
62153,A,1,,,1,108,
62353,,1,,,1,156,TEst45963 
62353,,1,,,1,157,TEst45963 
62352,,1,,,1,155,
62352,,1,,,1,156,
61618,I,1,,,1,740,
62416,T,1,,,1,801,
61574,I,1,,,1,702,
61916,I,1,,,1,704,
61926,I,1,,,1,760,
61926,I,1,,,1,752,
62086,I,1,,,1,714,
61373,T,1,,,1,711,
61877,A,1,,,1,113,
61877,A,1,,,1,155,
61877,A,1,,,1,168,
61903,I,1,,,1,740,
62152,I,1,,,1,762,
61608,I,1,,,1,740,
62359,I,1,,,1,715,
62378,B,2,10009,Produktionshelfer/in - Elektro,1,173,
62378,B,2,10009,Produktionshelfer/in - Elektro,1,157,
62378,B,2,10009,Produktionshelfer/in - Elektro,1,118,
62097,T,1,,,1,705,
62393,T,1,,,1,731,
62187,,1,,,1,714,
62187,,1,,,1,715,
61438,I,1,,,1,712,
62475,I,1,,,1,801,
62475,I,1,,,1,706,
62479,I,1,,,1,736,
61829,I,1,,,1,703,
62254,I,1,,,1,753,
61660,I,1,,,1,730,
61660,I,1,,,1,731,
61211,T,2,158,Fachhelfer/in - Industrie,1,156,
61211,T,2,158,Fachhelfer/in - Industrie,1,118,
62123,I,1,,,1,752,
62123,I,1,,,1,753,
61807,A,1,,,1,174,
61807,A,1,,,1,155,
61807,A,1,,,1,168,
17098,I,1,,,1,740,
17098,I,1,,,1,741,
62018,T,1,,,1,704,
61871,T,1,,,1,703,
62374,T,1,,,1,122,
62374,T,1,,,1,172,
62374,T,1,,,1,123,
62374,T,1,,,1,705,
62392,T,1,,,1,705,
62317,I,1,,,1,762,
61537,I,1,,,1,740,
61537,I,1,,,1,741,
62494,A,1,,,1,182,
62494,A,1,,,1,113,
62494,A,1,,,1,183,
62494,A,1,,,1,184,
62494,A,1,,,1,185,
62494,A,1,,,1,166,
61614,C,1,,,1,172,
61614,C,1,,,1,113,
61375,A,1,,,1,711,
61375,A,1,,,1,132,
61375,A,1,,,1,133,
61375,A,1,,,1,134,
61375,A,1,,,1,115,
61375,A,1,,,1,117,
61375,A,1,,,1,118,
61240,I,1,,,1,740,
61240,I,1,,,1,160,
61240,I,1,,,1,155,
61240,I,1,,,1,169,
62544,C,1,,,1,182,
62544,C,1,,,1,166,
62544,C,1,,,1,178,
62430,B,1,,,1,114,
62430,B,1,,,1,105,
62430,B,1,,,1,155,
62430,B,1,,,1,177,
61874,A,2,158,Fachhelfer/in - Industrie,1,173,
61874,A,2,158,Fachhelfer/in - Industrie,1,105,
61874,A,2,158,Fachhelfer/in - Industrie,1,155,
61874,A,2,158,Fachhelfer/in - Industrie,1,157,
61874,A,2,158,Fachhelfer/in - Industrie,1,118,
61714,T,1,,,1,713,
61568,T,1,,,1,710,
61568,T,1,,,1,132,
61568,T,1,,,1,133,
61568,T,1,,,1,134,
60855,A,1,,,1,113,
60855,A,1,,,1,169,
61555,I,1,,,1,740,
61555,I,1,,,1,741,
62391,T,1,,,1,705,
61774,I,1,,,1,760,
61774,I,1,,,1,752,
61371,T,2,10007,Produktionshelfer/in - Metall,1,711,
61371,T,2,10007,Produktionshelfer/in - Metall,1,132,
61371,T,2,10007,Produktionshelfer/in - Metall,1,133,
61371,T,2,10007,Produktionshelfer/in - Metall,1,134,
61371,T,2,10007,Produktionshelfer/in - Metall,1,177,
61371,T,2,10007,Produktionshelfer/in - Metall,1,118,
62484,B,1,,,1,800,
62484,B,1,,,1,156,
62484,B,1,,,1,168,
62484,B,1,,,1,178,
61405,I,1,,,1,740,
61405,I,1,,,1,711,
62506,B,1,,,1,183,
62506,B,1,,,1,184,
62506,B,1,,,1,185,
62506,B,1,,,1,168,
62506,B,1,,,1,169,
61532,B,2,10011,Produktionshelfer/in - Chemie,1,173,
61558,T,2,158,Fachhelfer/in - Industrie,1,155,
61558,T,2,158,Fachhelfer/in - Industrie,1,118,
61558,T,2,158,Fachhelfer/in - Industrie,1,715,
62192,A,1,,,1,133,
62192,A,1,,,1,154,
62192,A,1,,,1,105,
61762,T,1,,,1,702,
61762,T,1,,,1,172,
61762,T,1,,,1,155,
61762,T,1,,,1,156,
61762,T,1,,,1,157,
61762,T,1,,,1,178,
61735,T,1,,,1,703,
61735,T,1,,,1,160,
61735,T,1,,,1,113,
61735,T,1,,,1,155,
61735,T,1,,,1,156,
61444,I,1,,,1,712,
62198,T,2,10007,Produktionshelfer/in - Metall,1,715,
62218,,1,,,1,715,
62396,A,2,158,Fachhelfer/in - Industrie,1,168,
62396,A,2,158,Fachhelfer/in - Industrie,1,169,
61934,I,1,,,1,705,
61934,I,1,,,1,706,
62492,B,1,,,1,182,
62492,B,1,,,1,113,
62492,B,1,,,1,183,
62492,B,1,,,1,166,
62492,B,1,,,1,178,
61506,T,1,,,1,701,
61484,I,1,,,1,740,
61484,I,1,,,1,741,
62331,,1,,,1,715,
62567,I,1,,,1,753,
61988,I,1,,,1,731,
61350,A,2,158,Fachhelfer/in - Industrie,1,172,
61350,A,2,158,Fachhelfer/in - Industrie,1,113,
61385,T,1,,,1,730,
61566,I,1,,,1,710,
62546,B,2,23778,Fachhelfer/in - Lager,1,113,
62546,B,2,23778,Fachhelfer/in - Lager,1,156,
62546,B,2,23778,Fachhelfer/in - Lager,1,166,
62169,T,1,,,1,714,
62556,I,1,,,1,706,
62290,A,1,,,1,113,
62290,A,1,,,1,156,
62290,A,1,,,1,168,
62290,A,1,,,1,178,
62365,I,1,,,1,705,
62365,I,1,,,1,706,
62490,A,1,,,1,113,
62490,A,1,,,1,184,
62490,A,1,,,1,185,
62490,A,1,,,1,169,
62450,I,1,,,1,715,
62450,I,1,,,1,716,
62426,T,2,10007,Produktionshelfer/in - Metall,1,715,
62321,T,2,24571,Auslieferungsfahrer/in (nicht Verkaufsfa,1,762,
62413,T,1,,,1,731,
61501,A,1,,,1,120,
61501,A,1,,,1,720,
61501,A,1,,,1,173,
61501,A,1,,,1,114,
61501,A,1,,,1,134,
61501,A,1,,,1,105,
61501,A,1,,,1,167,
61501,A,1,,,1,108,
61501,A,1,,,1,118,
62571,A,1,,,1,180,
62571,A,1,,,1,124,
62571,A,1,,,1,135,
61701,I,1,,,1,715,
61920,I,1,,,1,705,
61920,I,1,,,1,706,
61745,I,1,,,1,740,
62343,T,2,24571,Auslieferungsfahrer/in (nicht Verkaufsfa,1,762,
62185,A,2,10007,Produktionshelfer/in - Metall,1,155,
62185,A,2,10007,Produktionshelfer/in - Metall,1,177,
61409,T,1,,,1,730,
61913,I,1,,,1,704,
61973,A,1,,,1,113,
61973,A,1,,,1,168,
61973,A,1,,,1,169,
62278,C,1,,,1,800,
62278,C,1,,,1,169,
62181,T,1,,,1,705,
61527,I,1,,,1,731,
61112,C,2,158,Fachhelfer/in - Industrie,1,157,
61112,C,2,158,Fachhelfer/in - Industrie,1,169,
62441,A,2,221,Montagehelfer/in,1,118,
61435,,2,158,Fachhelfer/in - Industrie,1,113,
62219,I,1,,,1,753,
61159,A,2,781,Qualitätsprüfer/in,1,156,
61159,A,2,781,Qualitätsprüfer/in,1,118,
61159,A,2,781,Qualitätsprüfer/in,1,168,
61702,T,1,,,1,703,
60890,A,2,23778,Fachhelfer/in - Lager,1,113,
61374,T,1,,,1,711,
61491,T,1,158,Fachhelfer/in - Industrie,1,712,
61428,T,1,221,Montagehelfer/in,1,712,
62035,B,1,,,1,124,
62265,A,2,221,Montagehelfer/in,1,800,
62265,A,2,221,Montagehelfer/in,1,173,
62265,A,2,221,Montagehelfer/in,1,156,
62265,A,2,221,Montagehelfer/in,1,118,
61467,I,1,,,1,740,
62345,A,1,,,1,175,
62345,A,1,,,1,168,
62345,A,1,,,1,178,
60967,B,2,23778,Fachhelfer/in - Lager,1,113,
60967,B,2,23778,Fachhelfer/in - Lager,1,169,
61801,I,1,,,1,731,
62064,T,1,,,1,704,
62525,B,1,158,Fachhelfer/in - Industrie,1,182,
62525,B,1,158,Fachhelfer/in - Industrie,1,173,
62525,B,1,158,Fachhelfer/in - Industrie,1,183,
62525,B,1,158,Fachhelfer/in - Industrie,1,184,
62525,B,1,158,Fachhelfer/in - Industrie,1,155,
62525,B,1,158,Fachhelfer/in - Industrie,1,175,
62525,B,1,158,Fachhelfer/in - Industrie,1,157,
62525,B,1,158,Fachhelfer/in - Industrie,1,177,
62525,B,1,158,Fachhelfer/in - Industrie,1,118,
62155,A,2,10005,Produktionshelfer/in - Kunststoff und Ka,1,156,
62155,A,2,10005,Produktionshelfer/in - Kunststoff und Ka,1,178,
62176,A,2,158,Fachhelfer/in - Industrie,1,113,
62554,T,2,10007,Produktionshelfer/in - Metall,1,182,
62554,T,2,10007,Produktionshelfer/in - Metall,1,183,
62554,T,2,10007,Produktionshelfer/in - Metall,1,184,
62554,T,2,10007,Produktionshelfer/in - Metall,1,715,
62554,T,2,10007,Produktionshelfer/in - Metall,1,716,
62554,T,2,10007,Produktionshelfer/in - Metall,1,178,
62554,T,2,10007,Produktionshelfer/in - Metall,1,169,
62175,A,2,221,Montagehelfer/in,1,761,
62175,A,2,221,Montagehelfer/in,1,172,
62175,A,2,221,Montagehelfer/in,1,155,
62175,A,2,221,Montagehelfer/in,1,157,
62175,A,2,221,Montagehelfer/in,1,178,
61436,T,1,158,Fachhelfer/in - Industrie,1,712,
19660,B,2,24820,Staplerfahrer/in,1,113,
19660,B,2,24820,Staplerfahrer/in,1,155,
19660,B,2,24820,Staplerfahrer/in,1,166,
62264,B,1,23785,Lagerhelfer/in,1,113,
62002,A,2,10007,Produktionshelfer/in - Metall,1,111,
62002,A,2,10007,Produktionshelfer/in - Metall,1,114,
62002,A,2,10007,Produktionshelfer/in - Metall,1,105,
62002,A,2,10007,Produktionshelfer/in - Metall,1,155,
62002,A,2,10007,Produktionshelfer/in - Metall,1,156,
62002,A,2,10007,Produktionshelfer/in - Metall,1,117,
62184,T,1,,,1,714,
61866,A,1,,,1,113,
61906,I,1,,,1,714,
62470,A,1,,,1,113,
62470,A,1,,,1,178,
62470,A,1,,,1,169,
61828,T,2,24571,Auslieferungsfahrer/in (nicht Verkaufsfa,1,751,
62358,,1,,,1,801,
62358,,1,,,1,715,
62433,T,1,10007,Produktionshelfer/in - Metall,1,742,
62433,T,1,10007,Produktionshelfer/in - Metall,1,753,
62422,I,1,,,1,706,
61411,T,2,158,Fachhelfer/in - Industrie,1,712,
61411,T,2,158,Fachhelfer/in - Industrie,1,132,
61411,T,2,158,Fachhelfer/in - Industrie,1,133,
61411,T,2,158,Fachhelfer/in - Industrie,1,105,
61411,T,2,158,Fachhelfer/in - Industrie,1,155,
61411,T,2,158,Fachhelfer/in - Industrie,1,156,
61411,T,2,158,Fachhelfer/in - Industrie,1,177,
61411,T,2,158,Fachhelfer/in - Industrie,1,118,
61946,A,1,,,1,800,
61946,A,1,,,1,156,
61483,I,1,,,1,740,
61961,A,2,25378,Reinigungskraft,1,800,
61961,A,2,25378,Reinigungskraft,1,113,
61723,I,1,,,1,731,
61725,I,1,,,1,704,
61725,I,1,,,1,714,
61673,I,1,,,1,740,
61673,I,1,,,1,741,
61673,I,1,,,1,169,
62520,C,1,,,1,800,
62520,C,1,,,1,182,
62520,C,1,,,1,113,
62520,C,1,,,1,183,
62520,C,1,,,1,184,
62520,C,1,,,1,169,
61676,,1,,,1,713,
61676,,1,,,1,714,
61676,,1,,,1,715,
61417,I,1,,,1,714,
61417,I,1,,,1,715,
62251,,1,,,1,715,
62235,A,1,,,1,156,
62235,A,1,,,1,177,
62235,A,1,,,1,118,
61368,T,1,,,1,701,
62087,T,2,24571,Auslieferungsfahrer/in (nicht Verkaufsfa,1,751,
62212,B,1,,,1,113,
61419,I,1,,,1,740,
61419,I,1,,,1,741,
61386,T,1,,,1,730,
61656,I,1,,,1,760,
61656,I,1,,,1,752,
62096,I,1,,,1,716,
62211,I,1,,,1,706,
62364,I,1,,,1,705,
62364,I,1,,,1,706,
62221,A,1,23778,Fachhelfer/in - Lager,1,172,
62221,A,1,23778,Fachhelfer/in - Lager,1,113,
62221,A,1,23778,Fachhelfer/in - Lager,1,118,
61611,I,1,,,1,731,
62482,T,1,,,1,715,
62139,T,1,,,1,704,
61867,T,2,158,Fachhelfer/in - Industrie,1,704,
61867,T,2,158,Fachhelfer/in - Industrie,1,160,
61867,T,2,158,Fachhelfer/in - Industrie,1,173,
61867,T,2,158,Fachhelfer/in - Industrie,1,169,
62133,I,1,,,1,800,
61904,I,1,,,1,713,
61904,I,1,,,1,714,
62472,C,1,,,1,174,
62472,C,1,,,1,175,
61692,C,1,,,1,113,
61692,C,1,,,1,155,
61692,C,1,,,1,166,
61617,T,1,,,1,160,
61617,T,1,,,1,702,
61617,T,1,,,1,172,
61617,T,1,,,1,123,
61617,T,1,,,1,174,
61617,T,1,,,1,155,
61617,T,1,,,1,156,
61617,T,1,,,1,157,
61617,T,1,,,1,168,
61617,T,1,,,1,178,
62100,I,1,,,1,714,
62100,I,1,,,1,715,
61525,T,1,,,1,713,
62412,I,1,,,1,801,
61519,I,1,,,1,713,
62301,A,1,,,1,105,
62301,A,1,,,1,155,
62301,A,1,,,1,156,
62301,A,1,,,1,177,
60827,T,1,,,1,703,
60827,T,1,,,1,113,
60827,T,1,,,1,114,
60827,T,1,,,1,105,
60827,T,1,,,1,155,
60500,A,2,24820,Staplerfahrer/in,1,113,
60500,A,2,24820,Staplerfahrer/in,1,166,
61387,T,1,,,1,730,
61921,I,1,,,1,760,
62531,C,1,,,1,182,
62531,C,1,,,1,113,
62531,C,1,,,1,183,
60558,A,2,158,Fachhelfer/in - Industrie,1,155,
60558,A,2,158,Fachhelfer/in - Industrie,1,156,
60558,A,2,158,Fachhelfer/in - Industrie,1,118,
62456,I,1,,,1,715,
62456,I,1,,,1,716,
61947,A,1,,,1,800,
61947,A,1,,,1,113,
61947,A,1,,,1,166,
61947,A,1,,,1,169,
62276,A,1,,,1,113,
62276,A,1,,,1,155,
62455,A,1,,,1,132,
62455,A,1,,,1,105,
62455,A,1,,,1,155,
62455,A,1,,,1,156,
62455,A,1,,,1,177,
62455,A,1,,,1,118,
