SCHLUESSEL,QUALIFIKAT,UBEREICH,RO,TRFIELD,REPL_ID,REPL_DATABASE,SSICHTBARINMAND,INAKTIV
tq,Arbeitsvorbereitung,,N,J,30639,1604123803,,
102,"Automatisierungstechnik
",,N,J,30640,1604123803,,1
103,"CAD-Konstruktion 
",,N,J,30641,1604123803,,
104,CAM,,N,J,30642,1604123803,,
105,CNC,,N,J,30643,1604123803,,
106,"Einkauf
",,N,J,30644,1604123803,,
107,"Elektrische Betriebstechnik
",,N,J,30645,1604123803,,
108,"Elektronik
",,N,J,30646,1604123803,,
109,"Erodiertechnik
",,N,J,30647,1604123803,,
110,"Fertigungsplanung /-steuerung
",,N,J,30648,1604123803,,
111,"Kunststoffschweißen
",,N,J,30649,1604123803,,
112,"Kunststoffspritzguss
",,N,J,30650,1604123803,,
113,"Lager/Logistik
",,N,J,30651,1604123803,,
114,"Maschinen-/ Anlagenführung
",,N,J,30652,1604123803,,
115,"Mechanische Betriebstechnik
",,N,J,30653,1604123803,,
116,"Metallbau Konstruktionstechnik
",,N,J,30654,1604123803,,
117,"Metallguss
",,N,J,30655,1604123803,,
118,"Montagetechnik
",,N,J,30656,1604123803,,
119,"Oberflächenbeschichtung
",,N,J,30657,1604123803,,
120,"Pneumatik/Hydraulik
",,N,J,30658,1604123803,,
121,"Projektmanagement
",,N,J,30659,1604123803,,
122,"Qualitätsmanagement
",,N,J,30660,1604123803,,
123,"Qualitätssicherung
",,N,J,30661,1604123803,,
124,"Sachbearbeitung
",,N,J,30662,1604123803,,
125,"Schweißtechnik
",,N,J,30663,1604123803,,
126,"Umformtechnik Biegen
",,N,J,30664,1604123803,,
127,"Umformtechnik Lasern
",,N,J,30665,1604123803,,
128,"Umformtechnik Stanz
",,N,J,30666,1604123803,,
129,"Vorrichtungsbau
",,N,J,30667,1604123803,,1
130,"Werkzeugbau Formentechnik
",,N,J,30668,1604123803,,
131,"Werkzeugbau Stanz/Umform
",,N,J,30669,1604123803,,
132,"Zerspanungstechnik Drehen
",,N,J,30670,1604123803,,
133,"Zerspanungstechnik Fräsen
",,N,J,30671,1604123803,,
134,"Zerspanungstechnik Schleifen
",,N,J,30672,1604123803,,
135,"Vertrieb
",,N,J,30673,1604123803,,
136,"Entwicklung
",,N,J,30674,1604123803,,1
137,Abteilungsleitung,,N,J,30675,1604123803,,
138,3D Messtechnik,,N,J,30676,1604123803,,
139,Erodieren (Senkerodieren),,N,J,30677,1604123803,,
140,Erodieren (Drahtschneiden),,N,J,30678,1604123803,,
141,Key Account Manager,,N,J,30679,1604123803,,1
142,Labor,,N,J,30680,1604123803,,
143,Schichtleitung,,N,J,30681,1604123803,,
742,IP,,N,J,60532,1604123803,,
750,TQLKW1,,N,J,62929,1604123803,,
760,TQElektroniker1,,N,J,62934,1604123803,,
144,Schweißen MAG,,N,J,30682,1604123803,,
145,Schweißen WIG,,N,J,30683,1604123803,,0
146,Heidenhain,,N,J,30684,1604123803,,
147,Sinumerik,,N,J,30685,1604123803,,
148,Fanuc/PAL,,N,J,30686,1604123803,,
149,Dialog,,N,J,30687,1604123803,,
150,EPL,,N,J,30688,1604123803,,
151,Mazaktrol,,N,J,30689,1604123803,,
152,Traub TX,,N,J,30690,1604123803,,
153,ShopMill/ShopTurn,,N,J,30691,1604123803,,
154,Ultimax,,N,J,30692,1604123803,,
155,Produktionshelfer Metall,,N,J,30693,1604123803,,
156,Produktionshelfer Kunststoff,,N,J,30694,1604123803,,
157,Produktionshelfer Elektro,,N,J,30695,1604123803,,
158,Automotiv,,N,J,30696,1604123803,,
159,Maschinenbau,,N,J,30697,1604123803,,
160,Produktionshelfer Mikroskop,,N,J,30698,1604123803,,
161,Schaltschrankbau,,N,J,30699,1604123803,,
162,Extrusion,,N,J,30700,1604123803,,
163,Elektrische Gebäudetechnik,,N,J,30701,1604123803,,
164,Servicetechnik,,N,J,30702,1604123803,,
165,Controlling,,N,J,30703,1604123803,,
166,Staplerschein,,N,J,30704,1604123803,,
167,SPS,,N,J,30705,1604123803,,
168,Produktionshelfer Lebensmittel,,N,J,30706,1604123803,,
169,Helfer ohne Industrieerfahrung,,N,J,30707,1604123803,,
170,Human Ressource,,N,J,30708,1604123803,,
171,Buchhaltung,,N,J,30709,1604123803,,
172,Produktionshelfer Druck,,N,J,30710,1604123803,,
173,Löten,,N,J,30711,1604123803,,
174,Produktionshelfer Medizin,,N,J,30712,1604123803,,
175,Reinraum,,N,J,30713,1604123803,,
176,Sieb-/Tampondruck,,N,J,30714,1604123803,,
701,ZQP11,,N,J,30715,1604123803,,
702,ZQP12,,N,J,30716,1604123803,,
703,ZQP13,,N,J,30717,1604123803,,
704,ZQP14,,N,J,30718,1604123803,,
705,ZQP15,,N,J,30719,1604123803,,
706,ZQP16,,N,J,30720,1604123803,,
707,ZQP17,,N,J,30721,1604123803,,
710,TQ12,,N,J,30722,1604123803,,
711,TQ13,,N,J,30723,1604123803,,
712,TQ14,,N,J,30724,1604123803,,
713,TQ15,,N,J,30725,1604123803,,
714,TQ16,,N,J,30726,1604123803,,
715,TQ17,,N,J,30727,1604123803,,
752,TQMechatroniker1,,N,J,63210,1604123803,,
800,IP Serienmail,,N,J,63235,1604123803,,
751,TQLKW2,,N,J,63240,1604123803,,
720,ZAW1,,N,J,30728,1604123803,,
721,ZAW2,,N,J,30729,1604123803,,
722,ZAW3,,N,J,30730,1604123803,,
730,FRI2,,N,J,30731,1604123803,,
731,FRI3,,N,J,30732,1604123803,,
740,Datev1,,N,J,30733,1604123803,,
741,Datev2,,N,J,30734,1604123803,,
177,Maschinenbediener,,N,J,63505,1604123803,,
178,Produktionshelfer Lager,,N,J,63508,1604123803,,
179,Lohnbuchhaltung,,N,J,63510,1604123803,,
180,Empfang,,N,J,63512,1604123803,,
181,Teamleitung,,N,J,63514,1604123803,,
753,TQMechatroniker2,,N,J,63523,1604123803,,
716,TQ18,,N,J,63528,1604123803,,
761,TQElektroniker2,,N,J,63535,1604123803,,
736,TQLKW4,,N,J,64657,1604123803,,
763,TQElektroniker3,,N,J,64680,1604123803,,
762,TQLKW3,,N,J,64640,1604123803,,
718,TQ19,,N,J,64683,1604123803,,
732,FRI4,,N,J,64690,1604123803,,
801,TQ2Mechatroniker1,,N,J,65024,1604123803,,